Zona,Subzona,Canton,Presunta_Subinfraccion,Fecha_Detencion,Flagrante/Boleta,Sexo,Edad,Nacionalidad
ZONA 9,DMQ,QUITO,TENENCIA ILEGAL ARMAS/EXPLOSIVOS,2016-01-10,SI,HOMBRE,21,ECUADOR
ZONA 9,DMQ,QUITO,TENENCIA ILEGAL ARMAS/EXPLOSIVOS,2016-01-10,SI,HOMBRE,33,ECUADOR
ZONA 9,DMQ,QUITO,TENENCIA ILEGAL ARMAS/EXPLOSIVOS,2016-01-10,SI,HOMBRE,35,ECUADOR
ZONA 9,DMQ,QUITO,TENENCIA ILEGAL ARMAS/EXPLOSIVOS,2016-01-10,SI,HOMBRE,28,ECUADOR
ZONA 9,DMQ,QUITO,TENENCIA ILEGAL ARMAS/EXPLOSIVOS,2016-01-10,SI,HOMBRE,34,ECUADOR
ZONA 9,DMQ,QUITO,TENENCIA ILEGAL ARMAS/EXPLOSIVOS,2016-01-10,SI,MUJER,35,ECUADOR
ZONA 9,DMQ,QUITO,TENENCIA ILEGAL ARMAS/EXPLOSIVOS,2016-01-10,SI,MUJER,24,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-01-03,NO,HOMBRE,22,ECUADOR
ZONA 9,DMQ,QUITO,USURPACION FUNCIONES/SUPLANTACION DE IDENTIDAD,2016-01-21,SI,HOMBRE,38,ECUADOR
ZONA 2,PICHINCHA,RUMIÑAHUI,REBELION Y ATENTADO,2016-01-25,NO,HOMBRE,53,ECUADOR
ZONA 9,DMQ,QUITO,ROBO DOMICILIO,2016-01-27,SI,HOMBRE,29,ECUADOR
ZONA 9,DMQ,QUITO,ROBO DOMICILIO,2016-01-29,SI,HOMBRE,27,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-01-29,SI,HOMBRE,23,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-01-29,SI,HOMBRE,14,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-01-01,SI,HOMBRE,28,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-01-01,SI,HOMBRE,20,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-01-01,SI,MUJER,21,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-01-01,SI,HOMBRE,20,COLOMBIA
ZONA 9,DMQ,QUITO,HERIDAS/LESIONES,2016-01-01,SI,HOMBRE,24,ECUADOR
ZONA 9,DMQ,QUITO,REBELION Y ATENTADO,2016-01-01,SI,HOMBRE,21,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A CARROS,2016-01-01,SI,HOMBRE,38,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-01-01,SI,HOMBRE,25,COLOMBIA
ZONA 9,DMQ,QUITO,VARIOS,2016-01-01,SI,HOMBRE,28,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-01-01,SI,HOMBRE,24,ECUADOR
ZONA 9,DMQ,QUITO,HURTO,2016-01-01,SI,HOMBRE,37,ECUADOR
ZONA 9,DMQ,QUITO,HERIDAS/LESIONES,2016-01-01,SI,HOMBRE,34,ECUADOR
ZONA 9,DMQ,QUITO,HERIDAS/LESIONES,2016-01-01,SI,HOMBRE,30,ECUADOR
ZONA 9,DMQ,QUITO,TENTATIVA ASESINATO/HOMICIDIO,2016-01-01,SI,HOMBRE,28,COLOMBIA
ZONA 9,DMQ,QUITO,VARIOS,2016-01-01,SI,HOMBRE,21,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-01-01,SI,HOMBRE,34,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-01-01,SI,HOMBRE,27,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-01-01,SI,HOMBRE,29,ECUADOR
ZONA 9,DMQ,QUITO,HERIDAS/LESIONES,2016-01-01,SI,HOMBRE,34,ECUADOR
