codigo_iccs,tipo,estado_civil,estatus_migratorio,edad,sexo,genero,nacionalidad,autoidentificacion_etnica,numero_detenciones,nivel_de_instruccion,condicion,movilizacion,tipo_arma,arma,Fecha_Detención,hora_detencion_aprehension,lugar,tipo_lugar,codigo_distrito,codigo_circuito,codigo_subcircuito,Zona,Subzona,nombre_distrito,nombre_circuito,nombre_subcircuito,codigo_provincia,codigo_canton,codigo_parroquia,nombre_provincia,Canton,nombre_parroquia,presunta_flagrancia,presunta_infraccion,Presunta_Subinfracción,presunta_modalidad
90510.03,DETENIDO,CASADO/A,NO APLICA,44,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,EDUCACIÓN INICIAL,NORMAL,AUTOMOVIL,NINGUNA,NINGUNA,1/24/2024,10:50,VÍA PÚBLICA,ÁREAS DE ACCESO PUBLICO,01D02,01D02C08,01D02C08S01,ZONA 6,AZUAY,CUENCA SUR,SAN SEBASTIAN,SAN SEBASTIAN 1,1,101,10150,AZUAY,CUENCA,CUENCA,NO,TERRORISMO Y SU FINANCIACIÓN,ASOCIACIÓN ILÍCITA,SIN DATO
90510.01,DETENIDO,CASADO/A,NO APLICA,60,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,NO APLICA,NORMAL,SIN DATO,NINGUNA,NINGUNA,1/26/2024,13:30,VÍA PÚBLICA,ÁREAS DE ACCESO PUBLICO,24D01,24D01C04,24D01C04S02,ZONA 5,SANTA ELENA,SANTA ELENA,SANTA ELENA CENTRO,SANTA ELENA CENTRO 2,24,2401,240150,SANTA ELENA,SANTA ELENA,SANTA ELENA,SI,TERRORISMO Y SU FINANCIACIÓN,DELINCUENCIA ORGANIZADA,SIN DATO
80900.02,APREHENDIDO,SOLTERO/A,REGULAR,21,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,EDUCACIÓN GENERAL BÁSICA,SIN DATO,MOTOCICLETA,NINGUNA,NINGUNA,1/19/2024,1:56,VÍA PÚBLICA,ÁREAS DE ACCESO PUBLICO,19D03,19D03C03,19D03C03S01,ZONA 7,ZAMORA CHINCHIPE,CHINCHIPE,ZUMBA,ZUMBA 1,19,1902,190250,ZAMORA CHINCHIPE,CHINCHIPE,ZUMBA,SI,DELITOS CONTRA LA EFICIENCIA DE LA ADMINISTRACIÓN PÚBLICA,INCUMPLIMIENTO DE DECISIONES LEGÍTIMAS DE AUTORIDAD COMPETENTE,SIN DATO
90111.03,APREHENDIDO,SIN DATO,SIN DATO,22,HOMBRE,MASCULINO,VENEZOLANO,MESTIZO/A,0,SIN DATO,SIN DATO,CAMIONETA,NINGUNA,NINGUNA,1/14/2024,2:15,VÍA PÚBLICA,ÁREAS DE ACCESO PUBLICO,03D03,03D03C02,03D03C02S02,ZONA 6,CAÑAR,LA TRONCAL,TRONCAL CENTRO,TRONCAL CENTRO 2,3,304,30450,CAÑAR,LA TRONCAL,LA TRONCAL,SI,DELITOS CONTRA LA SEGURIDAD PÚBLICA,TENENCIA Y PORTE DE ARMAS,SIN DATO
4011,APREHENDIDO,SIN DATO,SIN DATO,35,HOMBRE,MASCULINO,VENEZOLANO,MESTIZO/A,0,NO APLICA,NORMAL,MOTOCICLETA,ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE),DESTORNILLADORES,1/18/2024,16:25,TROCHA,ÁREAS DE ACCESO PUBLICO,17D03,17D03C17,17D03C17S05,ZONA 9,DMQ,LA DELICIA,CARCELEN,CARCELEN 5,17,1701,170150,PICHINCHA,QUITO,QUITO,SI,DELITOS CONTRA EL DERECHO A LA PROPIEDAD,ROBO A PERSONAS,ASALTO
110900.06,APREHENDIDO,SOLTERO/A,NO APLICA,19,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,NO APLICA,NORMAL,A PIE,ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE),TIJERAS,1/29/2024,22:00,CAI MASCULINO-LOJA,CENTRO DE ADOLESCENTES INFRACTORES (CAI),11D01,11D01C10,11D01C10S01,ZONA 7,LOJA,LOJA,TEBAIDA,TEBAIDA 1,11,1101,110150,LOJA,LOJA,LOJA,SI,CONTRAVENCIONES,CONTRAVENCIONES DE CUARTA CLASE,5. La persona que sin la debida autorización del organismo competente elabore o comercialice material pirotécnico. material pirotécnico.
,DETENIDO,SOLTERO/A,SIN DATO,29,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,SIN DATO,SIN DATO,SIN DATO,NINGUNA,NINGUNA,1/18/2024,18:35,ESPACIO PRIVADO,ÁREA PRIVADA,07D01,07D01C10,07D01C10S01,ZONA 7,EL ORO,PASAJE,OCHOA LEON,OCHOA LEON 1,7,709,70950,EL ORO,PASAJE,PASAJE,NO,BOLETAS,BOLETA DE APREMIO,SIN DATO
,APREHENDIDO,CASADO/A,NO APLICA,39,MUJER,FEMENINO,ECUATORIANO,SIN DATO,0,SIN DATO,NORMAL,SIN DATO,NINGUNA,NINGUNA,1/17/2024,2:20,OTRO LOCAL COMERCIAL,ÁREAS DEDICADAS AL COMERCIO,17D02,17D02C10,17D02C10S02,ZONA 9,DMQ,CALDERON,GUAYLLABAMBA,GUAYLLABAMBA 2,17,1701,170163,PICHINCHA,QUITO,GUAYLLABAMBA,SI,DELITOS CONTRA EL DERECHO A LA PROPIEDAD,ROBO A  UNIDADES ECONOMICAS,ASALTO
40121.03,APREHENDIDO,SOLTERO/A,REGULAR,26,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,BACHILLERATO,NORMAL,AUTOMOVIL,NINGUNA,NINGUNA,1/31/2024,18:00,VÍA PÚBLICA,ÁREAS DE ACCESO PUBLICO,09D01,09D01C05,09D01C05S02,ZONA 8,DMG,SUR,CENTENARIO,CENTENARIO 2,9,901,90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,SI,DELITOS CONTRA EL DERECHO A LA PROPIEDAD,ROBO DE CARROS,ASALTO
,DETENIDO,CASADO/A,SIN DATO,39,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,EDUCACIÓN GENERAL BÁSICA,NORMAL,SIN DATO,NINGUNA,NINGUNA,1/7/2024,20:30,VÍA PÚBLICA,ÁREAS DE ACCESO PUBLICO,17D11,17D11C05,17D11C05S01,ZONA 2,PICHINCHA,RUMIÑAHUI - MEJIA,ALOAG,ALOAG 1,17,1703,170351,PICHINCHA,MEJIA,ALOAG,NO,BOLETAS,BOLETA DE APREMIO,SIN DATO
60124.01,APREHENDIDO,SOLTERO/A,SIN DATO,19,MUJER,FEMENINO,ECUATORIANO,MESTIZO/A,0,SIN DATO,NORMAL,A PIE,NINGUNA,NINGUNA,1/6/2024,18:55,ESPACIO PRIVADO,ÁREA PRIVADA,09D08,09D08C05,09D08C05S03,ZONA 8,DMG,NUEVA PROSPERINA,MONTE SINAI,MONTE SINAI 3,9,901,90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,SI,DELITOS POR LA PRODUCCIÓN O TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN,TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN,SIN DATO
